Date,Confirmed,Recovered,Deceased
2020-03-09,1.0,0.0,0.0
2020-03-10,3.0,0.0,0.0
2020-03-11,0.0,0.0,0.0
2020-03-12,1.0,0.0,0.0
2020-03-13,1.0,0.0,1.0
2020-03-14,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0
2020-03-16,1.0,0.0,0.0
2020-03-17,4.0,0.0,0.0
2020-03-18,3.0,0.0,0.0
2020-03-19,1.0,0.0,0.0
2020-03-20,0.0,1.0,0.0
2020-03-21,5.0,0.0,0.0
2020-03-22,6.0,0.0,0.0
2020-03-23,7.0,0.0,0.0
2020-03-24,8.0,2.0,0.0
2020-03-25,10.0,0.0,0.0
2020-03-26,4.0,0.0,1.0
2020-03-27,9.0,2.0,1.0
2020-03-28,12.0,0.0,0.0
2020-03-29,7.0,0.0,0.0
2020-03-30,5.0,1.0,0.0
2020-03-31,13.0,2.0,0.0
2020-04-01,9.0,1.0,0.0
2020-04-02,14.0,2.0,0.0
2020-04-03,4.0,0.0,1.0
2020-04-04,16.0,0.0,0.0
2020-04-05,7.0,1.0,0.0
2020-04-06,12.0,8.0,0.0
2020-04-07,12.0,5.0,0.0
2020-04-08,6.0,3.0,1.0
2020-04-09,16.0,2.0,1.0
2020-04-10,10.0,4.0,0.0
2020-04-11,8.0,5.0,0.0
2020-04-12,17.0,15.0,0.0
2020-04-13,15.0,6.0,2.0
2020-04-14,13.0,11.0,2.0
2020-04-15,19.0,9.0,2.0
2020-04-16,36.0,2.0,1.0
2020-04-17,44.0,6.0,0.0
2020-04-18,25.0,16.0,1.0
2020-04-19,6.0,7.0,2.0
2020-04-20,18.0,1.0,0.0
2020-04-21,10.0,17.0,1.0
2020-04-22,9.0,2.0,0.0
2020-04-23,18.0,14.0,0.0
2020-04-24,29.0,7.0,1.0
2020-04-25,26.0,6.0,0.0
2020-04-26,3.0,24.0,1.0
2020-04-27,9.0,11.0,1.0
2020-04-28,11.0,14.0,0.0
2020-04-29,12.0,9.0,1.0
2020-04-30,30.0,13.0,1.0
2020-05-01,24.0,22.0,0.0
2020-05-02,12.0,20.0,3.0
2020-05-03,13.0,22.0,0.0
2020-05-04,37.0,28.0,2.0
2020-05-05,22.0,10.0,2.0
2020-05-06,20.0,23.0,0.0
2020-05-07,12.0,12.0,1.0
2020-05-08,48.0,10.0,0.0
2020-05-09,41.0,10.0,0.0
2020-05-10,54.0,36.0,1.0
2020-05-11,14.0,4.0,0.0
2020-05-12,63.0,7.0,0.0
2020-05-13,34.0,18.0,2.0
2020-05-14,28.0,9.0,2.0
2020-05-15,69.0,20.0,1.0
2020-05-16,36.0,16.0,0.0
2020-05-17,55.0,13.0,1.0
2020-05-18,99.0,21.0,0.0
2020-05-19,149.0,13.0,3.0
2020-05-20,67.0,13.0,1.0
2020-05-21,143.0,15.0,0.0
2020-05-22,138.0,26.0,0.0
2020-05-23,216.0,11.0,1.0
2020-05-24,130.0,46.0,0.0
2020-05-25,93.0,51.0,1.0
2020-05-26,101.0,59.0,0.0
2020-05-27,135.0,17.0,3.0
2020-05-28,115.0,53.0,0.0
2020-05-29,248.0,60.0,0.0
2020-05-30,141.0,103.0,1.0
2020-05-31,299.0,221.0,2.0
2020-06-01,187.0,100.0,1.0
2020-06-02,388.0,75.0,0.0
2020-06-03,267.0,111.0,1.0
2020-06-04,257.0,106.0,4.0
2020-06-05,515.0,83.0,0.0
2020-06-06,378.0,280.0,2.0
2020-06-07,239.0,159.0,2.0
2020-06-08,308.0,309.0,3.0
2020-06-09,161.0,164.0,2.0
2020-06-10,120.0,257.0,3.0
2020-06-11,204.0,114.0,3.0
2020-06-12,271.0,464.0,7.0
2020-06-13,308.0,208.0,3.0
2020-06-14,176.0,312.0,5.0
2020-06-15,213.0,174.0,2.0
2020-06-16,317.0,322.0,7.0
2020-06-17,204.0,348.0,8.0
2020-06-18,210.0,176.0,12.0
2020-06-19,337.0,230.0,9.0
2020-06-20,416.0,183.0,9.0
2020-06-21,453.0,226.0,5.0
2020-06-22,249.0,111.0,5.0
2020-06-23,322.0,274.0,8.0
2020-06-24,397.0,149.0,14.0
2020-06-25,442.0,519.0,6.0
2020-06-26,445.0,246.0,10.0
2020-06-27,918.0,371.0,11.0
2020-06-28,1267.0,220.0,16.0
2020-06-29,1105.0,176.0,19.0
2020-06-30,947.0,235.0,20.0
2020-07-01,1272.0,145.0,7.0
2020-07-02,1502.0,271.0,19.0
2020-07-03,1694.0,471.0,21.0
2020-07-04,1839.0,439.0,42.0
2020-07-05,1925.0,603.0,37.0
2020-07-06,1843.0,680.0,30.0
2020-07-07,1498.0,571.0,15.0
