Date,Confirmed,Recovered,Deceased
2020-03-04,7.0,0.0,0.0
2020-03-05,1.0,0.0,0.0
2020-03-06,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0
2020-03-09,2.0,0.0,0.0
2020-03-10,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0
2020-03-12,2.0,0.0,0.0
2020-03-13,1.0,0.0,0.0
2020-03-14,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0
2020-03-17,2.0,0.0,0.0
2020-03-18,2.0,0.0,0.0
2020-03-19,3.0,0.0,0.0
2020-03-20,4.0,0.0,0.0
2020-03-21,4.0,0.0,0.0
2020-03-22,2.0,0.0,0.0
2020-03-23,4.0,0.0,0.0
2020-03-24,1.0,0.0,0.0
2020-03-25,3.0,0.0,0.0
2020-03-26,4.0,0.0,0.0
2020-03-27,7.0,0.0,0.0
2020-03-28,16.0,0.0,0.0
2020-03-29,7.0,11.0,0.0
2020-03-30,24.0,6.0,0.0
2020-03-31,8.0,0.0,0.0
2020-04-01,13.0,0.0,2.0
2020-04-02,11.0,0.0,0.0
2020-04-03,46.0,0.0,0.0
2020-04-04,60.0,4.0,0.0
2020-04-05,44.0,0.0,1.0
2020-04-06,27.0,0.0,0.0
2020-04-07,27.0,0.0,0.0
2020-04-08,29.0,10.0,1.0
2020-04-09,49.0,0.0,0.0
2020-04-10,23.0,1.0,0.0
2020-04-11,19.0,13.0,1.0
2020-04-12,31.0,0.0,0.0
2020-04-13,75.0,4.0,0.0
2020-04-14,102.0,1.0,3.0
2020-04-15,75.0,7.0,3.0
2020-04-16,70.0,11.0,2.0
2020-04-17,44.0,14.0,1.0
2020-04-18,126.0,26.0,0.0
2020-04-19,125.0,19.0,3.0
2020-04-20,84.0,13.0,1.0
2020-04-21,153.0,22.0,3.0
2020-04-22,112.0,11.0,0.0
2020-04-23,61.0,33.0,3.0
2020-04-24,111.0,20.0,1.0
2020-04-25,172.0,35.0,2.0
2020-04-26,80.0,66.0,3.0
2020-04-27,113.0,72.0,1.0
2020-04-28,67.0,63.0,3.0
2020-04-29,81.0,48.0,5.0
2020-04-30,77.0,41.0,1.0
2020-05-01,117.0,103.0,2.0
2020-05-02,159.0,44.0,1.0
2020-05-03,158.0,56.0,0.0
2020-05-04,121.0,48.0,7.0
2020-05-05,114.0,185.0,6.0
2020-05-06,118.0,143.0,4.0
2020-05-07,73.0,120.0,2.0
2020-05-08,143.0,137.0,4.0
2020-05-09,159.0,112.0,8.0
2020-05-10,94.0,154.0,5.0
2020-05-11,106.0,105.0,1.0
2020-05-12,91.0,115.0,2.0
2020-05-13,94.0,92.0,4.0
2020-05-14,144.0,107.0,2.0
2020-05-15,155.0,93.0,7.0
2020-05-16,201.0,276.0,9.0
2020-05-17,206.0,195.0,8.0
2020-05-18,141.0,147.0,6.0
2020-05-19,321.0,135.0,5.0
2020-05-20,249.0,148.0,4.0
2020-05-21,340.0,138.0,11.0
2020-05-22,220.0,120.0,14.0
2020-05-23,282.0,82.0,3.0
2020-05-24,251.0,132.0,6.0
2020-05-25,229.0,122.0,8.0
2020-05-26,227.0,164.0,8.0
2020-05-27,267.0,167.0,5.0
2020-05-28,179.0,224.0,15.0
2020-05-29,275.0,195.0,4.0
2020-05-30,256.0,241.0,12.0
2020-05-31,374.0,192.0,4.0
2020-06-01,286.0,187.0,5.0
2020-06-02,368.0,146.0,7.0
2020-06-03,141.0,81.0,1.0
2020-06-04,367.0,182.0,15.0
2020-06-05,496.0,209.0,12.0
2020-06-06,370.0,260.0,11.0
2020-06-07,433.0,277.0,7.0
2020-06-08,411.0,159.0,8.0
2020-06-09,388.0,325.0,18.0
2020-06-10,275.0,302.0,20.0
2020-06-11,478.0,321.0,24.0
2020-06-12,528.0,317.0,20.0
2020-06-13,502.0,266.0,20.0
2020-06-14,497.0,393.0,14.0
2020-06-15,476.0,342.0,18.0
2020-06-16,507.0,294.0,18.0
2020-06-17,583.0,335.0,30.0
2020-06-18,604.0,399.0,23.0
2020-06-19,809.0,357.0,19.0
2020-06-20,541.0,374.0,22.0
2020-06-21,596.0,626.0,21.0
2020-06-22,591.0,606.0,19.0
2020-06-23,571.0,515.0,19.0
2020-06-24,664.0,470.0,8.0
2020-06-25,636.0,533.0,15.0
2020-06-26,750.0,464.0,19.0
2020-06-27,606.0,632.0,19.0
2020-06-28,598.0,593.0,11.0
2020-06-29,681.0,698.0,12.0
2020-06-30,664.0,578.0,25.0
2020-07-01,564.0,545.0,21.0
2020-07-02,769.0,592.0,17.0
2020-07-03,972.0,376.0,14.0
2020-07-04,757.0,557.0,24.0
2020-07-05,1153.0,607.0,12.0
2020-07-06,929.0,348.0,24.0
2020-07-07,1332.0,518.0,18.0
2020-07-08,1188.0,704.0,18.0
2020-07-09,1206.0,796.0,17.0
2020-07-10,1338.0,660.0,27.0
2020-07-11,1392.0,902.0,24.0
2020-07-12,1384.0,645.0,21.0
2020-07-13,1654.0,869.0,21.0
2020-07-14,1594.0,778.0,28.0
2020-07-15,1659.0,762.0,29.0
2020-07-16,2058.0,932.0,34.0
2020-07-17,1722.0,959.0,38.0
2020-07-18,1873.0,1030.0,24.0
2020-07-19,2211.0,1181.0,38.0
2020-07-20,1913.0,986.0,46.0
2020-07-21,2128.0,1024.0,37.0
2020-07-22,2300.0,1645.0,34.0
2020-07-23,2516.0,2303.0,35.0
2020-07-24,2667.0,1909.0,50.0
2020-07-25,2971.0,2191.0,39.0
2020-07-26,3246.0,1738.0,39.0
2020-07-27,3505.0,1192.0,30.0
2020-07-28,3458.0,1687.0,41.0
2020-07-29,3383.0,1287.0,33.0
2020-07-30,3705.0,996.0,57.0
2020-07-31,4422.0,2060.0,43.0
2020-08-01,3587.0,2471.0,47.0
2020-08-02,3873.0,2023.0,53.0
2020-08-03,4441.0,2036.0,48.0
2020-08-04,2948.0,1878.0,39.0
2020-08-05,4078.0,3287.0,40.0
2020-08-06,4586.0,2844.0,61.0
2020-08-07,4404.0,3432.0,63.0
2020-08-08,4660.0,2999.0,47.0
2020-08-09,4571.0,2817.0,41.0
2020-08-10,4113.0,4074.0,51.0
2020-08-11,5041.0,3865.0,56.0
2020-08-12,4475.0,4072.0,54.0
2020-08-13,4537.0,4125.0,50.0
2020-08-14,4512.0,3740.0,55.0
2020-08-15,4774.0,3705.0,58.0
2020-08-16,4357.0,4201.0,56.0
2020-08-17,3798.0,4376.0,66.0
2020-08-18,4218.0,4799.0,70.0
2020-08-19,5076.0,5620.0,53.0
2020-08-20,4824.0,5863.0,95.0
2020-08-21,4905.0,5567.0,64.0
2020-08-22,5217.0,4638.0,70.0
2020-08-23,5325.0,4318.0,59.0
2020-08-24,4601.0,4494.0,61.0
2020-08-25,5006.0,4647.0,72.0
2020-08-26,5640.0,3808.0,82.0
2020-08-27,5391.0,4331.0,76.0
2020-08-28,5405.0,4986.0,77.0
2020-08-29,5633.0,4862.0,62.0
2020-08-30,6175.0,4802.0,67.0
2020-08-31,4782.0,4597.0,63.0
2020-09-01,5343.0,4537.0,56.0
2020-09-02,5682.0,4687.0,74.0
2020-09-03,5662.0,4448.0,75.0
2020-09-04,6074.0,5006.0,71.0
2020-09-05,6590.0,5141.0,81.0
2020-09-06,6518.0,4779.0,77.0
2020-09-07,5568.0,4993.0,56.0
2020-09-08,6622.0,5439.0,71.0
2020-09-09,6568.0,5731.0,65.0
2020-09-10,6988.0,4605.0,94.0
2020-09-11,7016.0,5936.0,76.0
2020-09-12,6786.0,6085.0,67.0
2020-09-13,6205.0,5958.0,80.0
2020-09-14,5159.0,5932.0,62.0
2020-09-15,6841.0,6680.0,113.0
2020-09-16,6229.0,6476.0,86.0
2020-09-17,6029.0,4715.0,81.0
2020-09-18,6494.0,6806.0,98.0
2020-09-19,5729.0,6596.0,84.0
2020-09-20,5758.0,6584.0,94.0
2020-09-21,4618.0,6320.0,88.0
2020-09-22,5650.0,6589.0,77.0
2020-09-23,5143.0,6506.0,87.0
2020-09-24,4591.0,4922.0,67.0
2020-09-25,4256.0,6075.0,84.0
2020-09-26,4302.0,6546.0,67.0
2020-09-27,4250.0,5656.0,77.0
2020-09-28,3790.0,5382.0,58.0
2020-09-29,3981.0,5711.0,63.0
2020-09-30,4226.0,5434.0,69.0
2020-10-01,4019.0,4444.0,80.0
2020-10-02,3894.0,5107.0,53.0
2020-10-03,3631.0,4860.0,60.0
2020-10-04,3840.0,5226.0,52.0
2020-10-05,2971.0,4269.0,63.0
2020-10-06,3500.0,4432.0,61.0
2020-10-07,3389.0,4219.0,47.0
2020-10-08,3133.0,3690.0,45.0
2020-10-09,3207.0,4424.0,48.0
2020-10-10,3046.0,4063.0,60.0
2020-10-11,3267.0,3417.0,41.0
2020-10-12,2182.0,3342.0,44.0
2020-10-13,2957.0,3662.0,28.0
2020-10-14,2593.0,3736.0,41.0
2020-10-15,2672.0,3239.0,36.0
2020-10-16,2552.0,3538.0,46.0
2020-10-17,2725.0,3528.0,40.0
2020-10-18,2486.0,3981.0,29.0
2020-10-19,1719.0,3093.0,27.0
2020-10-20,2289.0,3339.0,29.0
2020-10-21,2321.0,3332.0,41.0
2020-10-22,2383.0,2581.0,35.0
2020-10-23,2202.0,3025.0,40.0
2020-10-24,2178.0,2741.0,24.0
2020-10-25,2032.0,2368.0,28.0
2020-10-26,1798.0,2441.0,20.0
2020-10-27,1986.0,2335.0,38.0
2020-10-28,1980.0,2742.0,18.0
2020-10-29,1861.0,2465.0,25.0
2020-10-30,2187.0,2590.0,24.0
2020-10-31,1781.0,2426.0,18.0
2020-11-01,1969.0,2388.0,26.0
2020-11-02,1777.0,2040.0,25.0
2020-11-03,1726.0,2210.0,13.0
2020-11-04,2167.0,2014.0,15.0
2020-11-05,1852.0,1351.0,27.0
2020-11-06,2173.0,2167.0,24.0
2020-11-07,1894.0,2010.0,25.0
2020-11-08,2142.0,1858.0,26.0
2020-11-09,1627.0,1895.0,25.0
2020-11-10,2121.0,2201.0,30.0
2020-11-11,1848.0,2112.0,20.0
2020-11-12,2265.0,1859.0,21.0
2020-11-13,2178.0,2005.0,25.0
2020-11-14,2301.0,2002.0,27.0
2020-11-15,1401.0,1783.0,18.0
2020-11-16,1546.0,1889.0,21.0
2020-11-17,1420.0,1838.0,19.0
2020-11-18,2346.0,2529.0,29.0
2020-11-19,2532.0,1690.0,39.0
2020-11-20,2840.0,2220.0,20.0
2020-11-21,2235.0,2097.0,24.0
2020-11-22,2557.0,2187.0,35.0
2020-11-23,2053.0,2060.0,23.0
2020-11-24,2217.0,2032.0,33.0
2020-11-25,2305.0,1328.0,29.0
2020-11-26,2094.0,1518.0,30.0
2020-11-27,2298.0,2058.0,23.0
2020-11-28,2152.0,2527.0,21.0
2020-11-29,1974.0,2618.0,24.0
2020-11-30,2015.0,2472.0,19.0
2020-12-01,1657.0,2059.0,27.0
2020-12-02,1763.0,2607.0,29.0
2020-12-03,1920.0,1696.0,31.0
2020-12-04,1951.0,2247.0,29.0
2020-12-05,1833.0,2230.0,23.0
2020-12-06,1932.0,1993.0,24.0
2020-12-07,1453.0,1861.0,20.0
2020-12-08,1776.0,2111.0,23.0
2020-12-09,1326.0,2022.0,20.0
2020-12-10,1662.0,1495.0,24.0
2020-12-11,1561.0,1875.0,14.0
2020-12-12,1410.0,1761.0,31.0
2020-12-13,1424.0,1770.0,16.0
2020-12-14,1172.0,1972.0,11.0
2020-12-15,1336.0,1852.0,20.0
2020-12-16,1199.0,1765.0,15.0
2020-12-17,1528.0,1159.0,20.0
2020-12-18,1405.0,1584.0,16.0
2020-12-19,1205.0,1544.0,23.0
2020-12-20,1230.0,1559.0,19.0
2020-12-21,990.0,1397.0,16.0
2020-12-22,1203.0,1330.0,12.0
2020-12-23,818.0,1102.0,21.0
2020-12-24,1126.0,1183.0,22.0
2020-12-25,1214.0,1342.0,12.0
2020-12-26,1098.0,1368.0,14.0
2020-12-27,900.0,1391.0,13.0
2020-12-28,940.0,1585.0,16.0
2020-12-29,1021.0,1369.0,18.0
2020-12-30,1025.0,1202.0,12.0
2020-12-31,0.0,0.0,0.0
2021-01-01,1786.0,2082.0,27.0
2021-01-02,682.0,1190.0,8.0
2021-01-03,737.0,1179.0,16.0
2021-01-04,711.0,1054.0,10.0
2021-01-05,729.0,928.0,20.0
2021-01-06,729.0,1067.0,9.0
2021-01-07,503.0,646.0,10.0
2021-01-08,767.0,1001.0,17.0
2021-01-09,1286.0,1375.0,24.0
2021-01-10,275.0,561.0,2.0
2021-01-11,509.0,770.0,9.0
2021-01-12,495.0,789.0,10.0
2021-01-13,466.0,879.0,15.0
2021-01-14,501.0,539.0,14.0
2021-01-15,472.0,956.0,15.0
2021-01-16,523.0,930.0,12.0
2021-01-17,391.0,666.0,6.0
