Date,Confirmed,Recovered,Deceased
2020-03-02,1.0,0.0,0.0
2020-03-03,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0
2020-03-14,1.0,0.0,0.0
2020-03-15,1.0,0.0,0.0
2020-03-16,1.0,0.0,0.0
2020-03-17,1.0,0.0,0.0
2020-03-18,8.0,0.0,0.0
2020-03-19,3.0,0.0,0.0
2020-03-20,3.0,0.0,0.0
2020-03-21,2.0,0.0,0.0
2020-03-22,6.0,0.0,0.0
2020-03-23,6.0,0.0,0.0
2020-03-24,6.0,0.0,0.0
2020-03-25,2.0,0.0,0.0
2020-03-26,4.0,0.0,0.0
2020-03-27,14.0,0.0,0.0
2020-03-28,8.0,0.0,0.0
2020-03-29,3.0,1.0,1.0
2020-03-30,7.0,13.0,5.0
2020-03-31,20.0,0.0,0.0
2020-04-01,30.0,0.0,3.0
2020-04-02,27.0,3.0,0.0
2020-04-03,75.0,15.0,2.0
2020-04-04,43.0,1.0,0.0
2020-04-05,62.0,0.0,0.0
2020-04-06,30.0,12.0,0.0
2020-04-07,40.0,0.0,0.0
2020-04-08,49.0,0.0,0.0
2020-04-09,18.0,0.0,1.0
2020-04-10,16.0,0.0,0.0
2020-04-11,16.0,51.0,2.0
2020-04-12,28.0,7.0,2.0
2020-04-13,61.0,0.0,1.0
2020-04-14,52.0,7.0,1.0
2020-04-15,6.0,8.0,0.0
2020-04-16,50.0,68.0,0.0
2020-04-17,66.0,0.0,0.0
2020-04-18,43.0,0.0,0.0
2020-04-19,49.0,0.0,3.0
2020-04-20,14.0,0.0,2.0
2020-04-21,56.0,8.0,0.0
2020-04-22,15.0,0.0,1.0
2020-04-23,27.0,58.0,1.0
2020-04-24,13.0,39.0,0.0
2020-04-25,7.0,16.0,0.0
2020-04-26,11.0,9.0,0.0
2020-04-27,2.0,16.0,0.0
2020-04-28,6.0,42.0,0.0
2020-04-29,7.0,35.0,0.0
2020-04-30,22.0,33.0,3.0
2020-05-01,6.0,22.0,0.0
2020-05-02,17.0,35.0,1.0
2020-05-03,21.0,46.0,0.0
2020-05-04,3.0,40.0,0.0
2020-05-05,11.0,43.0,0.0
2020-05-06,11.0,20.0,0.0
2020-05-07,15.0,45.0,0.0
2020-05-08,10.0,34.0,0.0
2020-05-09,31.0,24.0,1.0
2020-05-10,33.0,0.0,0.0
2020-05-11,79.0,50.0,0.0
2020-05-12,51.0,21.0,2.0
2020-05-13,41.0,117.0,2.0
2020-05-14,47.0,13.0,0.0
2020-05-15,40.0,7.0,0.0
2020-05-16,55.0,12.0,0.0
2020-05-17,42.0,21.0,0.0
2020-05-18,41.0,10.0,0.0
2020-05-19,42.0,9.0,4.0
2020-05-20,27.0,2.0,2.0
2020-05-21,38.0,23.0,5.0
2020-05-22,62.0,7.0,3.0
2020-05-23,52.0,25.0,1.0
2020-05-24,41.0,24.0,4.0
2020-05-25,66.0,72.0,3.0
2020-05-26,112.0,120.0,1.0
2020-05-27,107.0,37.0,6.0
2020-05-28,117.0,24.0,4.0
2020-05-29,169.0,36.0,4.0
2020-05-30,74.0,31.0,6.0
2020-05-31,199.0,16.0,5.0
