Date,Confirmed,Recovered,Deceased
2020-03-12,1.0,0.0,0.0
2020-03-13,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0
2020-03-19,2.0,0.0,0.0
2020-03-20,0.0,0.0,0.0
2020-03-21,2.0,0.0,0.0
2020-03-22,1.0,0.0,0.0
2020-03-23,1.0,0.0,0.0
2020-03-24,1.0,0.0,0.0
2020-03-25,2.0,0.0,0.0
2020-03-26,1.0,0.0,0.0
2020-03-27,2.0,0.0,0.0
2020-03-28,6.0,0.0,0.0
2020-03-29,2.0,1.0,0.0
2020-03-30,2.0,0.0,0.0
2020-03-31,21.0,0.0,0.0
2020-04-01,67.0,1.0,0.0
2020-04-02,38.0,0.0,0.0
2020-04-03,15.0,0.0,1.0
2020-04-04,28.0,0.0,0.0
2020-04-05,64.0,3.0,0.0
2020-04-06,47.0,0.0,2.0
2020-04-07,11.0,0.0,1.0
2020-04-08,34.0,1.0,0.0
2020-04-09,15.0,4.0,2.0
2020-04-10,18.0,0.0,0.0
2020-04-11,24.0,0.0,0.0
2020-04-12,15.0,2.0,1.0
2020-04-13,19.0,0.0,0.0
2020-04-14,45.0,4.0,4.0
2020-04-15,41.0,4.0,3.0
2020-04-16,9.0,0.0,0.0
2020-04-17,38.0,15.0,0.0
2020-04-18,31.0,7.0,2.0
2020-04-19,44.0,23.0,1.0
2020-04-20,75.0,27.0,3.0
2020-04-21,35.0,4.0,2.0
2020-04-22,56.0,24.0,2.0
2020-04-23,80.0,21.0,3.0
2020-04-24,62.0,4.0,2.0
2020-04-25,61.0,26.0,2.0
2020-04-26,81.0,60.0,0.0
2020-04-27,80.0,4.0,0.0
2020-04-28,82.0,23.0,0.0
2020-04-29,73.0,29.0,0.0
2020-04-30,71.0,34.0,0.0
2020-05-01,60.0,82.0,2.0
2020-05-02,62.0,38.0,0.0
2020-05-03,58.0,47.0,0.0
2020-05-04,67.0,36.0,0.0
2020-05-05,67.0,65.0,1.0
2020-05-06,60.0,140.0,2.0
2020-05-07,56.0,51.0,2.0
2020-05-08,54.0,62.0,3.0
2020-05-09,43.0,45.0,3.0
2020-05-10,50.0,38.0,1.0
2020-05-11,38.0,73.0,0.0
2020-05-12,71.0,58.0,1.0
2020-05-13,48.0,86.0,1.0
2020-05-14,68.0,50.0,1.0
2020-05-15,102.0,60.0,0.0
2020-05-16,48.0,101.0,1.0
2020-05-17,25.0,103.0,1.0
2020-05-18,52.0,96.0,0.0
2020-05-19,57.0,69.0,2.0
2020-05-20,71.0,43.0,1.0
2020-05-21,45.0,41.0,1.0
2020-05-22,62.0,26.0,1.0
2020-05-23,47.0,48.0,1.0
2020-05-24,66.0,62.0,0.0
2020-05-25,106.0,51.0,0.0
2020-05-26,97.0,125.0,1.0
2020-05-27,134.0,48.0,1.0
2020-05-28,128.0,68.0,1.0
2020-05-29,85.0,101.0,1.0
2020-05-30,131.0,55.0,0.0
2020-05-31,110.0,51.0,2.0
2020-06-01,105.0,34.0,2.0
2020-06-02,115.0,40.0,0.0
2020-06-03,180.0,50.0,4.0
2020-06-04,141.0,65.0,3.0
2020-06-05,138.0,36.0,2.0
2020-06-06,210.0,75.0,0.0
2020-06-07,199.0,29.0,2.0
2020-06-08,154.0,42.0,0.0
2020-06-09,69.0,48.0,2.0
2020-06-10,365.0,110.0,1.0
2020-06-11,182.0,99.0,2.0
2020-06-12,207.0,123.0,0.0
2020-06-13,222.0,94.0,2.0
2020-06-14,294.0,131.0,2.0
2020-06-15,304.0,69.0,2.0
2020-06-16,264.0,128.0,2.0
2020-06-17,351.0,128.0,2.0
2020-06-18,425.0,131.0,2.0
2020-06-19,465.0,133.0,4.0
2020-06-20,491.0,206.0,5.0
2020-06-21,477.0,196.0,5.0
2020-06-22,443.0,128.0,5.0
2020-06-23,462.0,157.0,8.0
2020-06-24,497.0,187.0,10.0
2020-06-25,553.0,209.0,7.0
2020-06-26,605.0,208.0,10.0
2020-06-27,796.0,284.0,11.0
2020-06-28,813.0,428.0,12.0
2020-06-29,793.0,324.0,11.0
2020-06-30,704.0,279.0,7.0
2020-07-01,657.0,477.0,6.0
2020-07-02,845.0,325.0,5.0
2020-07-03,837.0,319.0,8.0
2020-07-04,765.0,376.0,12.0
2020-07-05,998.0,414.0,14.0
2020-07-06,1322.0,498.0,7.0
2020-07-07,1178.0,825.0,13.0
2020-07-08,1062.0,1356.0,12.0
2020-07-09,1555.0,1053.0,13.0
2020-07-10,1608.0,1040.0,15.0
2020-07-11,1813.0,1199.0,17.0
2020-07-12,1933.0,1019.0,19.0
