Date,Confirmed,Recovered,Deceased
2020-03-03,1.0,0.0,0.0
2020-03-04,1.0,0.0,0.0
2020-03-05,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0
2020-03-10,1.0,0.0,0.0
2020-03-11,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0
2020-03-14,1.0,0.0,0.0
2020-03-15,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0
2020-03-18,3.0,0.0,0.0
2020-03-19,2.0,0.0,0.0
2020-03-20,8.0,0.0,0.0
2020-03-21,7.0,0.0,0.0
2020-03-22,5.0,0.0,0.0
2020-03-23,3.0,0.0,0.0
2020-03-24,0.0,0.0,0.0
2020-03-25,6.0,0.0,0.0
2020-03-26,5.0,0.0,0.0
2020-03-27,7.0,0.0,0.0
2020-03-28,4.0,0.0,0.0
2020-03-29,5.0,3.0,0.0
2020-03-30,20.0,0.0,0.0
2020-03-31,14.0,0.0,0.0
2020-04-01,27.0,0.0,0.0
2020-04-02,13.0,0.0,0.0
2020-04-03,46.0,0.0,0.0
2020-04-04,27.0,22.0,1.0
2020-04-05,60.0,0.0,0.0
2020-04-06,35.0,0.0,1.0
2020-04-07,42.0,0.0,0.0
2020-04-08,40.0,20.0,1.0
2020-04-09,80.0,15.0,0.0
2020-04-10,98.0,0.0,0.0
2020-04-11,139.0,56.0,6.0
2020-04-12,104.0,5.0,2.0
2020-04-13,93.0,0.0,0.0
2020-04-14,108.0,26.0,0.0
2020-04-15,71.0,0.0,0.0
2020-04-16,55.0,17.0,0.0
2020-04-17,98.0,19.0,6.0
2020-04-18,122.0,17.0,4.0
2020-04-19,127.0,5.0,2.0
2020-04-20,98.0,0.0,2.0
2020-04-21,159.0,69.0,1.0
2020-04-22,153.0,70.0,1.0
2020-04-23,76.0,107.0,1.0
2020-04-24,70.0,42.0,4.0
2020-04-25,49.0,20.0,2.0
2020-04-26,102.0,116.0,7.0
2020-04-27,77.0,115.0,9.0
2020-04-28,102.0,26.0,2.0
2020-04-29,76.0,44.0,3.0
2020-04-30,144.0,79.0,3.0
2020-05-01,82.0,223.0,4.0
2020-05-02,106.0,126.0,6.0
2020-05-03,114.0,114.0,3.0
2020-05-04,175.0,82.0,6.0
2020-05-05,97.0,87.0,12.0
2020-05-06,159.0,214.0,4.0
2020-05-07,110.0,150.0,6.0
2020-05-08,152.0,122.0,4.0
2020-05-09,129.0,151.0,3.0
2020-05-10,106.0,79.0,2.0
2020-05-11,174.0,83.0,5.0
2020-05-12,138.0,130.0,4.0
2020-05-13,202.0,119.0,4.0
2020-05-14,206.0,65.0,4.0
2020-05-15,213.0,91.0,0.0
2020-05-16,213.0,215.0,1.0
2020-05-17,242.0,111.0,5.0
2020-05-18,305.0,163.0,7.0
2020-05-19,338.0,119.0,5.0
2020-05-20,170.0,67.0,4.0
2020-05-21,212.0,81.0,4.0
2020-05-22,267.0,195.0,2.0
2020-05-23,248.0,106.0,7.0
2020-05-24,286.0,62.0,3.0
2020-05-25,272.0,208.0,4.0
2020-05-26,236.0,220.0,3.0
2020-05-27,280.0,286.0,3.0
2020-05-28,251.0,253.0,7.0
2020-05-29,298.0,429.0,4.0
2020-05-30,252.0,495.0,9.0
2020-05-31,214.0,293.0,1.0
2020-06-01,269.0,181.0,5.0
2020-06-02,273.0,222.0,4.0
2020-06-03,279.0,309.0,6.0
2020-06-04,210.0,360.0,4.0
2020-06-05,222.0,255.0,5.0
2020-06-06,253.0,142.0,13.0
2020-06-07,262.0,253.0,9.0
2020-06-08,277.0,363.0,6.0
2020-06-09,369.0,211.0,9.0
2020-06-10,355.0,241.0,4.0
2020-06-11,238.0,206.0,6.0
2020-06-12,230.0,236.0,7.0
2020-06-13,333.0,326.0,10.0
2020-06-14,293.0,229.0,10.0
2020-06-15,287.0,219.0,9.0
2020-06-16,235.0,177.0,7.0
2020-06-17,326.0,505.0,5.0
2020-06-18,315.0,275.0,17.0
2020-06-19,299.0,255.0,3.0
2020-06-20,381.0,277.0,4.0
2020-06-21,393.0,323.0,12.0
2020-06-22,302.0,313.0,7.0
2020-06-23,395.0,303.0,9.0
2020-06-24,382.0,398.0,10.0
2020-06-25,287.0,229.0,4.0
2020-06-26,364.0,222.0,1.0
2020-06-27,284.0,305.0,11.0
2020-06-28,327.0,244.0,8.0
2020-06-29,389.0,310.0,6.0
2020-06-30,348.0,299.0,8.0
2020-07-01,304.0,354.0,8.0
2020-07-02,350.0,374.0,9.0
2020-07-03,390.0,333.0,10.0
2020-07-04,480.0,359.0,7.0
2020-07-05,632.0,288.0,9.0
2020-07-06,524.0,350.0,5.0
2020-07-07,716.0,297.0,11.0
2020-07-08,659.0,291.0,10.0
2020-07-09,500.0,204.0,9.0
2020-07-10,611.0,550.0,6.0
2020-07-11,574.0,249.0,6.0
2020-07-12,644.0,234.0,7.0
2020-07-13,544.0,527.0,8.0
2020-07-14,635.0,539.0,6.0
2020-07-15,866.0,333.0,6.0
2020-07-16,737.0,468.0,8.0
2020-07-17,615.0,656.0,8.0
2020-07-18,711.0,518.0,7.0
2020-07-19,934.0,586.0,6.0
2020-07-20,956.0,465.0,9.0
2020-07-21,983.0,549.0,9.0
2020-07-22,961.0,620.0,6.0
2020-07-23,886.0,451.0,11.0
2020-07-24,958.0,732.0,8.0
2020-07-25,1120.0,759.0,11.0
2020-07-26,1132.0,648.0,11.0
2020-07-27,1134.0,880.0,9.0
2020-07-28,1072.0,483.0,11.0
