Date,Confirmed,Recovered,Deceased
2020-03-17,1.0,0.0,0.0
2020-03-18,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0
2020-03-20,1.0,0.0,0.0
2020-03-21,2.0,0.0,0.0
2020-03-22,3.0,0.0,0.0
2020-03-23,0.0,0.0,0.0
2020-03-24,2.0,0.0,0.0
2020-03-25,0.0,0.0,0.0
2020-03-26,1.0,0.0,0.0
2020-03-27,5.0,0.0,0.0
2020-03-28,3.0,0.0,0.0
2020-03-29,3.0,0.0,1.0
2020-03-30,1.0,0.0,1.0
2020-03-31,15.0,3.0,1.0
2020-04-01,0.0,0.0,0.0
2020-04-02,16.0,0.0,0.0
2020-04-03,0.0,0.0,0.0
2020-04-04,0.0,0.0,0.0
2020-04-05,27.0,7.0,0.0
2020-04-06,0.0,0.0,0.0
2020-04-07,11.0,3.0,0.0
2020-04-08,8.0,0.0,2.0
2020-04-09,4.0,3.0,0.0
2020-04-10,13.0,0.0,0.0
2020-04-11,10.0,0.0,0.0
2020-04-12,8.0,3.0,2.0
2020-04-13,18.0,10.0,0.0
2020-04-14,38.0,7.0,0.0
2020-04-15,23.0,1.0,0.0
2020-04-16,18.0,5.0,3.0
2020-04-17,24.0,9.0,0.0
2020-04-18,32.0,4.0,2.0
2020-04-19,23.0,7.0,0.0
2020-04-20,29.0,4.0,0.0
2020-04-21,53.0,7.0,3.0
2020-04-22,31.0,0.0,0.0
2020-04-23,33.0,6.0,0.0
2020-04-24,58.0,24.0,3.0
2020-04-25,57.0,0.0,0.0
2020-04-26,40.0,2.0,2.0
2020-04-27,38.0,0.0,0.0
2020-04-28,48.0,4.0,2.0
2020-04-29,28.0,10.0,0.0
2020-04-30,33.0,5.0,11.0
2020-05-01,37.0,15.0,8.0
2020-05-02,127.0,12.0,7.0
2020-05-03,276.0,-19.0,74.0
2020-05-04,61.0,86.0,11.0
2020-05-05,85.0,46.0,7.0
2020-05-06,112.0,1.0,4.0
2020-05-07,92.0,31.0,7.0
2020-05-08,130.0,27.0,9.0
2020-05-09,108.0,49.0,11.0
2020-05-10,153.0,45.0,14.0
2020-05-11,124.0,82.0,5.0
2020-05-12,110.0,113.0,8.0
2020-05-13,117.0,90.0,9.0
2020-05-14,87.0,66.0,8.0
2020-05-15,84.0,61.0,10.0
