Date,Confirmed,Recovered,Deceased
2020-03-14,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0
2020-03-20,2.0,0.0,0.0
2020-03-21,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0
2020-03-23,1.0,0.0,0.0
2020-03-24,0.0,0.0,0.0
2020-03-25,0.0,0.0,0.0
2020-03-26,0.0,0.0,0.0
2020-03-27,0.0,0.0,0.0
2020-03-28,0.0,0.0,0.0
2020-03-29,0.0,1.0,1.0
2020-03-30,0.0,0.0,0.0
2020-03-31,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0
2020-04-02,3.0,0.0,0.0
2020-04-03,0.0,0.0,1.0
2020-04-04,7.0,0.0,0.0
2020-04-05,1.0,0.0,0.0
2020-04-06,4.0,0.0,0.0
2020-04-07,9.0,1.0,0.0
2020-04-08,0.0,0.0,0.0
2020-04-09,1.0,0.0,0.0
2020-04-10,0.0,0.0,0.0
2020-04-11,4.0,6.0,0.0
2020-04-12,0.0,4.0,0.0
2020-04-13,0.0,0.0,0.0
2020-04-14,1.0,1.0,0.0
2020-04-15,2.0,0.0,0.0
2020-04-16,0.0,3.0,0.0
2020-04-17,3.0,0.0,0.0
2020-04-18,1.0,0.0,0.0
2020-04-19,0.0,0.0,0.0
2020-04-20,0.0,0.0,0.0
2020-04-21,0.0,0.0,0.0
2020-04-22,0.0,0.0,0.0
2020-04-23,1.0,2.0,0.0
2020-04-24,0.0,0.0,0.0
2020-04-25,0.0,4.0,0.0
2020-04-26,0.0,0.0,0.0
2020-04-27,0.0,3.0,0.0
2020-04-28,0.0,0.0,0.0
2020-04-29,0.0,0.0,0.0
2020-04-30,0.0,3.0,0.0
2020-05-01,0.0,2.0,0.0
2020-05-02,0.0,3.0,0.0
2020-05-03,0.0,1.0,0.0
2020-05-04,1.0,0.0,0.0
2020-05-05,1.0,0.0,1.0
2020-05-06,1.0,0.0,0.0
2020-05-07,3.0,0.0,0.0
2020-05-08,4.0,0.0,0.0
2020-05-09,2.0,1.0,0.0
2020-05-10,6.0,0.0,0.0
2020-05-11,1.0,0.0,0.0
2020-05-12,8.0,0.0,0.0
2020-05-13,1.0,0.0,0.0
2020-05-14,6.0,0.0,0.0
2020-05-15,2.0,0.0,0.0
2020-05-16,2.0,4.0,0.0
2020-05-17,2.0,1.0,0.0
2020-05-18,10.0,2.0,0.0
2020-05-19,2.0,5.0,1.0
2020-05-20,18.0,3.0,0.0
2020-05-21,42.0,5.0,0.0
2020-05-22,16.0,0.0,0.0
2020-05-23,17.0,2.0,0.0
2020-05-24,18.0,2.0,0.0
2020-05-25,20.0,4.0,0.0
2020-05-26,24.0,0.0,0.0
2020-05-27,26.0,3.0,2.0
2020-05-28,8.0,7.0,0.0
2020-05-29,14.0,10.0,0.0
2020-05-30,18.0,24.0,0.0
2020-05-31,18.0,9.0,0.0
